ISIN,Rendimento_annuo%,Volatilita_annua%,Sharpe_Ratio,Max_Drawdown%,Beta,Alpha%,Perf_1mese%,Perf_6mesi%,Perf_1anno%
LU2673523564,-1.65,4.66,-1.125,-3.54,,,0.71,,
LU2697597719,-1.39,4.42,-1.127,-3.32,,,0.13,,
LU2809864619,-1.64,4.63,-1.129,-3.81,,,1.03,,
LU2673523135,-0.93,3.97,-1.138,-3.04,,,0.74,,
LU2182388236,-0.94,3.98,-1.14,-3.28,,,0.26,-0.5,
IE000D1DAPO5,-1.37,4.35,-1.14,-3.52,,,0.26,-0.72,
IE00B6YX5H87,1.14,2.14,-1.143,-1.18,,,0.49,,
LU1563454310,-1.36,4.32,-1.146,-2.81,,,0.4,-0.72,
IE00053HJRU7,-0.54,3.59,-1.153,-2.74,,,0.63,,
LU2468423459,-1.4,4.32,-1.156,-2.97,,,-0.01,,
IE00BG5QQ390,1.4,1.88,-1.163,-0.84,,,0.37,,
IE000NPK2VI6,-0.36,3.39,-1.165,-2.74,,,0.67,,
IE000L2TO2T2,-0.27,3.31,-1.167,-2.58,,,0.66,,
IE00BN4GXL63,-0.53,3.53,-1.167,-2.66,,,0.69,,
LU2993392898,-1.06,3.98,-1.168,-3.33,,,0.4,,
LU1981860072,-0.89,3.81,-1.179,-2.56,,,0.43,,
IE000LX17BP9,-0.72,3.61,-1.197,-2.82,,,0.62,,
LU0879397742,-0.82,3.66,-1.204,-1.29,,,-0.35,,
LU2533812728,-1.07,3.86,-1.207,-3.17,,,0.31,-0.56,
IE0000VKUF67,-0.48,3.37,-1.209,-2.57,,,0.83,,
IE00B3DKXQ41,-1.01,3.8,-1.212,-3.13,,,0.23,-0.53,
FR001400SDP3,-0.8,3.6,-1.221,-3.03,,,0.9,-0.43,
LU3025346910,-0.15,3.07,-1.221,-2.6,,,0.33,-0.1,
LU2697597552,-1.42,4.1,-1.223,-3.34,,,0.23,,
LU1681039647,-0.7,3.49,-1.232,-2.72,,,0.59,-0.38,
LU3119430141,-0.09,2.98,-1.236,-2.38,,,0.62,,
LU2365458814,-1.48,4.08,-1.241,-3.47,,,0.22,-0.77,
IE000Y2BJVK9,-0.6,3.34,-1.255,-2.8,,,0.86,,
LU2697596745,-0.73,3.44,-1.256,-2.66,,,0.67,,
LU1953136287,-1.17,3.75,-1.27,-2.87,,,0.62,,
LU2365458731,-1.56,4.02,-1.281,-3.44,,,0.22,-0.81,
LU2823896811,-0.15,2.9,-1.289,-2.21,,,0.65,,
IE000EC86C06,-3.61,5.53,-1.303,-6.03,,,2.27,,
IE000APK27S2,-0.92,3.44,-1.311,-2.55,,,0.59,,
FR001400SQV3,-2.18,4.4,-1.312,-3.18,,,0.75,-1.12,
IE00049TNTV6,-2.0,4.26,-1.313,-3.95,,,0.44,,
LU2976321161,-0.61,3.18,-1.321,-2.56,,,0.39,,
IE000G4ONBO6,-2.4,4.5,-1.331,-3.55,,,0.28,,
IE000AK4O3W6,1.13,1.84,-1.339,-0.98,,,0.53,,
IE0009EDBBS3,-0.61,3.13,-1.34,-2.68,,,0.84,,
LU2446383338,-0.09,2.74,-1.342,-2.41,,,0.64,-0.06,
IE00BNDS1Q47,-1.76,3.99,-1.344,-2.75,,,0.62,,
IE000W6ZFH20,0.51,2.29,-1.347,-1.32,,,0.4,,
IE000ZC4C5Q1,0.15,2.53,-1.36,-1.64,,,0.47,,
IE000MUAJIF4,-0.1,2.71,-1.364,-1.97,,,0.71,,
IE0000U1XBZ0,0.7,2.11,-1.372,-1.45,,,0.47,,
IE0006QCIHM0,-2.25,4.21,-1.387,-2.83,,,0.98,,
IE000QADMYA3,-1.12,3.37,-1.396,-2.63,,,0.71,,
LU2809864296,-0.72,3.08,-1.399,-2.69,,,0.82,,
LU2069380306,-0.5,2.92,-1.403,-2.41,,,0.5,,
IE000IHURBR0,-0.46,2.89,-1.404,-2.22,,,0.68,,
LU3065090717,0.39,2.24,-1.43,-1.39,,,0.21,,
IE000F37PGZ3,-0.82,3.08,-1.432,-2.74,,,0.78,,
IE000XOS4OJ6,1.53,1.41,-1.467,-0.79,,,0.32,,
IE000SNLFDR7,-0.43,2.74,-1.469,-2.23,,,0.72,,
LU2533812991,-2.07,3.82,-1.481,-2.94,,,0.74,,
IE000YMQ2SC9,1.15,1.64,-1.484,-0.58,,,0.42,,
IE000BZXJJ24,-0.32,2.63,-1.488,-1.84,,,0.87,,
LU0942970798,-2.0,3.76,-1.489,-3.11,,,0.45,,
LU1525418643,0.1,2.34,-1.49,-1.81,,,0.5,0.04,
LU2673523309,-0.35,2.59,-1.522,-2.04,,,0.69,,
IE00BF59RW70,0.08,2.29,-1.535,-1.97,,,0.67,,
LU1603790731,-0.39,2.59,-1.535,-2.12,,,0.69,-0.21,
IE00BKT6BH25,0.11,2.24,-1.552,-1.8,,,0.69,0.04,
LU2673522913,-0.24,2.45,-1.564,-2.01,,,0.69,,
IE0006K7DEL9,0.12,2.22,-1.565,-1.73,,,0.44,,
LU2178481649,0.11,2.22,-1.568,-1.66,,,0.53,,
LU2244387457,-0.77,2.78,-1.57,-2.4,,,0.38,,
